Learner Category,Learner Type,20th Percentile 13/14,40th Percentile 13/14,60th Percentile 13/14,80th Percentile 13/14,20th Percentile 14/15,40th Percentile 14/15,60th Percentile 14/15,80th Percentile 14/15
LLDD learner,All (excl. benefit learners),57,64,69,75,56,63,69,75
Advanced and Higher Apprenticeships,All (excl. benefit learners),90,92,94,95,90,92,93,95
Full Level 3+,All (excl. benefit learners),77,84,88,93,76,83,87,91
Access to HE,All (excl. benefit learners),88,90,91,93,88,90,92,94
Other Level 3,All (excl. benefit learners),76,88,91,93,75,75,75,89
Intermediate Apprenticeships,All (excl. benefit learners),89,92,93,95,89,91,93,95
Full Level 2,All (excl. benefit learners),80,87,91,93,79,86,90,93
Traineeships,All (excl. benefit learners),64,69,76,82,60,67,74,81
English & Maths,All (excl. benefit learners),71,76,80,85,71,75,79,85
ESOL,All (excl. benefit learners),61,67,71,76,60,64,69,72
Other provision below Full Level 2,All (excl. benefit learners),66,71,78,85,66,75,82,84
LLDD learner,Benefit learners,41,44,47,52,40,46,46,50
Advanced and Higher Apprenticeships,Benefit learners,70,82,86,95,71,75,82,86
Full Level 3+,Benefit learners,56,66,73,81,58,64,70,78
Access to HE,Benefit learners,83,86,89,92,81,85,88,92
Other Level 3,Benefit learners,62,65,71,80,68,68,68,82
Intermediate Apprenticeships,Benefit learners,70,79,90,94,73,82,89,93
Full Level 2,Benefit learners,53,59,63,68,51,59,64,68
Traineeships,Benefit learners,52,64,70,74,50,62,67,67
English & Maths,Benefit learners,44,52,55,62,45,50,56,62
ESOL,Benefit learners,50,55,58,65,47,52,56,60
Other provision below Full Level 2,Benefit learners,47,51,52,56,49,52,53,57
"Advanced and Higher Apprenticeships: Agriculture, Horticulture and Animal Care",All (excl. benefit learners),84,89,90,92,85,88,91,93
"Advanced and Higher Apprenticeships: Arts, Media and Publishing",All (excl. benefit learners),80,85,88,92,74,86,95,95
"Advanced and Higher Apprenticeships: Business, Administration and Law",All (excl. benefit learners),91,94,95,96,92,93,95,96
"Advanced and Higher Apprenticeships: Construction, Planning and the Built Environment",All (excl. benefit learners),87,93,93,94,89,91,91,92
Advanced and Higher Apprenticeships: Education and Training,All (excl. benefit learners),89,94,96,98,90,93,95,97
Advanced and Higher Apprenticeships: Engineering and Manufacturing Technologies,All (excl. benefit learners),90,92,94,96,88,91,94,96
"Advanced and Higher Apprenticeships: Health, Public Services and Care",All (excl. benefit learners),91,92,93,95,91,92,93,94
Advanced and Higher Apprenticeships: Information and Communication Technology,All (excl. benefit learners),88,90,92,94,89,91,92,94
"Advanced and Higher Apprenticeships: Leisure, Travel and Tourism",All (excl. benefit learners),79,85,91,93,79,85,91,91
Advanced and Higher Apprenticeships: Retail and Commercial Enterprise,All (excl. benefit learners),85,91,93,93,87,91,93,94
Advanced and Higher Apprenticeships: Science and Mathematics,All (excl. benefit learners),90,90,90,100,94,94,94,100
"Full Level 3+: Agriculture, Horticulture and Animal Care",All (excl. benefit learners),80,83,86,90,81,83,86,89
"Full Level 3+: Arts, Media and Publishing",All (excl. benefit learners),77,82,85,89,76,82,85,88
"Full Level 3+: Business, Administration and Law",All (excl. benefit learners),85,88,92,95,85,87,90,93
"Full Level 3+: Construction, Planning and the Built Environment",All (excl. benefit learners),74,79,84,91,76,79,83,89
Full Level 3+: Education and Training,All (excl. benefit learners),83,91,94,96,82,87,91,95
Full Level 3+: Engineering and Manufacturing Technologies,All (excl. benefit learners),79,83,90,94,75,83,90,93
"Full Level 3+: Health, Public Services and Care",All (excl. benefit learners),82,86,90,93,79,84,89,92
"Full Level 3+: History, Philosophy and Theology",All (excl. benefit learners),80,80,80,80,x,x,x,x
Full Level 3+: Information and Communication Technology,All (excl. benefit learners),73,81,83,89,70,79,85,89
"Full Level 3+: Languages, Literature and Culture",All (excl. benefit learners),76,88,88,94,84,84,91,94
"Full Level 3+: Leisure, Travel and Tourism",All (excl. benefit learners),75,82,87,92,74,80,85,88
Full Level 3+: Preparation for Life and Work,All (excl. benefit learners),80,80,80,80,x,x,x,x
Full Level 3+: Retail and Commercial Enterprise,All (excl. benefit learners),68,73,77,81,64,70,75,79
Full Level 3+: Science and Mathematics,All (excl. benefit learners),83,88,92,95,85,86,90,96
Full Level 3+: Social Sciences,All (excl. benefit learners),60,67,67,83,71,85,85,85
"Intermediate Apprenticeships: Agriculture, Horticulture and Animal Care",All (excl. benefit learners),82,88,90,92,83,85,89,94
"Intermediate Apprenticeships: Arts, Media and Publishing",All (excl. benefit learners),92,92,92,100,83,83,100,100
"Intermediate Apprenticeships: Business, Administration and Law",All (excl. benefit learners),90,92,94,95,90,92,93,95
"Intermediate Apprenticeships: Construction, Planning and the Built Environment",All (excl. benefit learners),85,88,91,91,83,90,91,91
Intermediate Apprenticeships: Education and Training,All (excl. benefit learners),87,93,95,100,88,89,94,100
Intermediate Apprenticeships: Engineering and Manufacturing Technologies,All (excl. benefit learners),90,93,95,98,91,93,95,97
"Intermediate Apprenticeships: Health, Public Services and Care",All (excl. benefit learners),91,92,93,95,90,92,93,94
Intermediate Apprenticeships: Information and Communication Technology,All (excl. benefit learners),93,94,95,98,90,93,95,96
"Intermediate Apprenticeships: Leisure, Travel and Tourism",All (excl. benefit learners),86,92,92,94,84,88,93,93
Intermediate Apprenticeships: Retail and Commercial Enterprise,All (excl. benefit learners),87,91,92,94,87,91,92,95
"Full Level 2: Agriculture, Horticulture and Animal Care",All (excl. benefit learners),78,82,86,89,75,81,84,87
"Full Level 2: Arts, Media and Publishing",All (excl. benefit learners),68,77,79,88,66,79,81,85
"Full Level 2: Business, Administration and Law",All (excl. benefit learners),82,86,88,92,85,87,90,93
"Full Level 2: Construction, Planning and the Built Environment",All (excl. benefit learners),78,82,86,90,74,78,86,90
Full Level 2: Education and Training,All (excl. benefit learners),77,83,87,91,73,81,86,90
Full Level 2: Engineering and Manufacturing Technologies,All (excl. benefit learners),75,81,87,91,76,82,88,90
"Full Level 2: Health, Public Services and Care",All (excl. benefit learners),90,92,93,94,88,91,92,94
Full Level 2: Information and Communication Technology,All (excl. benefit learners),74,74,81,87,67,73,80,86
"Full Level 2: Languages, Literature and Culture",All (excl. benefit learners),81,84,88,91,81,84,87,91
"Full Level 2: Leisure, Travel and Tourism",All (excl. benefit learners),80,86,88,92,81,84,90,93
Full Level 2: Preparation for Life and Work,All (excl. benefit learners),87,89,92,94,84,89,92,93
Full Level 2: Retail and Commercial Enterprise,All (excl. benefit learners),70,77,81,86,63,73,78,84
Full Level 2: Science and Mathematics,All (excl. benefit learners),84,88,90,93,85,87,90,92
Full Level 2: Social Sciences,All (excl. benefit learners),72,72,72,72,69,69,69,69
"Advanced and Higher Apprenticeships: Arts, Media and Publishing",Benefit learners,x,x,x,x,x,x,x,x
"Advanced and Higher Apprenticeships: Business, Administration and Law",Benefit learners,86,86,86,86,71,71,71,71
Advanced and Higher Apprenticeships: Engineering and Manufacturing Technologies,Benefit learners,100,100,100,100,x,x,x,x
Advanced and Higher Apprenticeships: Engineering and Manufacturing Technologies,Benefit learners,x,x,x,x,x,x,x,x
"Advanced and Higher Apprenticeships: Health, Public Services and Care",Benefit learners,69,82,82,82,60,64,82,90
Advanced and Higher Apprenticeships: Information and Communication Technology,Benefit learners,50,70,95,95,75,75,80,86
"Advanced and Higher Apprenticeships: Leisure, Travel and Tourism",Benefit learners,76,76,76,76,x,x,x,x
"Full Level 3+: Agriculture, Horticulture and Animal Care",Benefit learners,69,75,85,92,73,73,73,73
"Full Level 3+: Arts, Media and Publishing",Benefit learners,67,79,79,81,58,63,78,78
"Full Level 3+: Business, Administration and Law",Benefit learners,65,67,73,78,79,79,83,91
"Full Level 3+: Construction, Planning and the Built Environment",Benefit learners,50,51,57,66,50,55,61,69
Full Level 3+: Education and Training,Benefit learners,64,80,80,85,80,80,91,91
Full Level 3+: Engineering and Manufacturing Technologies,Benefit learners,50,73,74,74,42,67,67,70
"Full Level 3+: Health, Public Services and Care",Benefit learners,68,72,77,82,67,73,77,79
Full Level 3+: Information and Communication Technology,Benefit learners,60,67,81,83,64,64,64,64
"Full Level 3+: Leisure, Travel and Tourism",Benefit learners,61,67,69,82,58,67,68,71
Full Level 3+: Retail and Commercial Enterprise,Benefit learners,50,56,59,71,50,50,62,67
Full Level 3+: Science and Mathematics,Benefit learners,85,85,85,85,77,77,92,92
"Intermediate Apprenticeships: Agriculture, Horticulture and Animal Care",Benefit learners,54,54,54,54,x,x,x,x
"Intermediate Apprenticeships: Business, Administration and Law",Benefit learners,75,84,90,95,73,83,90,94
"Intermediate Apprenticeships: Construction, Planning and the Built Environment",Benefit learners,65,65,67,83,73,80,93,93
Intermediate Apprenticeships: Engineering and Manufacturing Technologies,Benefit learners,78,78,91,98,76,76,91,96
"Intermediate Apprenticeships: Health, Public Services and Care",Benefit learners,67,77,87,95,75,75,86,89
"Intermediate Apprenticeships: Leisure, Travel and Tourism",Benefit learners,56,72,72,90,65,65,65,70
Intermediate Apprenticeships: Retail and Commercial Enterprise,Benefit learners,70,82,90,91,68,73,86,90
"Full Level 2: Agriculture, Horticulture and Animal Care",Benefit learners,50,51,51,53,47,47,48,48
"Full Level 2: Arts, Media and Publishing",Benefit learners,58,65,68,76,58,73,77,85
"Full Level 2: Business, Administration and Law",Benefit learners,52,55,63,68,52,58,63,71
"Full Level 2: Construction, Planning and the Built Environment",Benefit learners,54,55,60,70,47,52,59,65
Full Level 2: Education and Training,Benefit learners,55,67,73,85,58,58,69,76
Full Level 2: Engineering and Manufacturing Technologies,Benefit learners,57,63,66,70,58,59,64,67
"Full Level 2: Health, Public Services and Care",Benefit learners,57,61,64,70,56,64,68,73
Full Level 2: Information and Communication Technology,Benefit learners,61,63,63,63,60,64,64,64
"Full Level 2: Languages, Literature and Culture",Benefit learners,67,73,82,88,75,78,83,86
"Full Level 2: Leisure, Travel and Tourism",Benefit learners,57,67,74,82,50,60,70,74
Full Level 2: Preparation for Life and Work,Benefit learners,50,58,62,66,50,59,60,68
Full Level 2: Retail and Commercial Enterprise,Benefit learners,48,53,58,64,50,51,54,61
Full Level 2: Science and Mathematics,Benefit learners,76,81,83,86,77,81,83,90
